city_id,city,country_id
1,A Corua (La Corua),87
2,Abha,82
3,Abu Dhabi,101
4,Acua,60
5,Adana,97
6,Addis Abeba,31
7,Aden,107
8,Adoni,44
9,Ahmadnagar,44
10,Akishima,50
11,Akron,103
12,al-Ayn,101
13,al-Hawiya,82
14,al-Manama,11
15,al-Qadarif,89
16,al-Qatif,82
17,Alessandria,49
18,Allappuzha (Alleppey),44
19,Allende,60
20,Almirante Brown,6
21,Alvorada,15
22,Ambattur,44
23,Amersfoort,67
24,Amroha,44
25,Angra dos Reis,15
26,Anpolis,15
27,Antofagasta,22
28,Aparecida de Goinia,15
29,Apeldoorn,67
30,Araatuba,15
31,Arak,46
32,Arecibo,77
33,Arlington,103
34,Ashdod,48
35,Ashgabat,98
36,Ashqelon,48
37,Asuncin,73
38,Athenai,39
39,Atinsk,80
40,Atlixco,60
41,Augusta-Richmond County,103
42,Aurora,103
43,Avellaneda,6
44,Bag,15
45,Baha Blanca,6
46,Baicheng,23
47,Baiyin,23
48,Baku,10
49,Balaiha,80
50,Balikesir,97
51,Balurghat,44
52,Bamenda,19
53,Bandar Seri Begawan,16
54,Banjul,37
55,Barcelona,104
56,Basel,91
57,Bat Yam,48
58,Batman,97
59,Batna,2
60,Battambang,18
61,Baybay,75
62,Bayugan,75
63,Bchar,2
64,Beira,63
65,Bellevue,103
66,Belm,15
67,Benguela,4
68,Beni-Mellal,62
69,Benin City,69
70,Bergamo,49
71,Berhampore (Baharampur),44
72,Bern,91
73,Bhavnagar,44
74,Bhilwara,44
75,Bhimavaram,44
76,Bhopal,44
77,Bhusawal,44
78,Bijapur,44
79,Bilbays,29
80,Binzhou,23
81,Birgunj,66
82,Bislig,75
83,Blumenau,15
84,Boa Vista,15
85,Boksburg,85
86,Botosani,78
87,Botshabelo,85
88,Bradford,102
89,Braslia,15
90,Bratislava,84
91,Brescia,49
92,Brest,34
93,Brindisi,49
94,Brockton,103
95,Bucuresti,78
96,Buenaventura,24
97,Bydgoszcz,76
98,Cabuyao,75
99,Callao,74
100,Cam Ranh,105
101,Cape Coral,103
102,Caracas,104
103,Carmen,60
104,Cavite,75
105,Cayenne,35
106,Celaya,60
107,Chandrapur,44
108,Changhwa,92
109,Changzhou,23
110,Chapra,44
111,Charlotte Amalie,106
112,Chatsworth,85
113,Cheju,86
114,Chiayi,92
115,Chisinau,61
116,Chungho,92
117,Cianjur,45
118,Ciomas,45
119,Ciparay,45
120,Citrus Heights,103
121,Citt del Vaticano,41
122,Ciudad del Este,73
123,Clarksville,103
124,Coacalco de Berriozbal,60
125,Coatzacoalcos,60
126,Compton,103
127,Coquimbo,22
128,Crdoba,6
129,Cuauhtmoc,60
130,Cuautla,60
131,Cuernavaca,60
132,Cuman,104
133,Czestochowa,76
134,Dadu,72
135,Dallas,103
136,Datong,23
137,Daugavpils,54
138,Davao,75
139,Daxian,23
140,Dayton,103
141,Deba Habe,69
142,Denizli,97
143,Dhaka,12
144,Dhule (Dhulia),44
145,Dongying,23
146,Donostia-San Sebastin,87
147,Dos Quebradas,24
148,Duisburg,38
149,Dundee,102
150,Dzerzinsk,80
151,Ede,67
152,Effon-Alaiye,69
153,El Alto,14
154,El Fuerte,60
155,El Monte,103
156,Elista,80
157,Emeishan,23
158,Emmen,67
159,Enshi,23
160,Erlangen,38
161,Escobar,6
162,Esfahan,46
163,Eskisehir,97
164,Etawah,44
165,Ezeiza,6
166,Ezhou,23
167,Faaa,36
168,Fengshan,92
169,Firozabad,44
170,Florencia,24
171,Fontana,103
172,Fukuyama,50
173,Funafuti,99
174,Fuyu,23
175,Fuzhou,23
176,Gandhinagar,44
177,Garden Grove,103
178,Garland,103
179,Gatineau,20
180,Gaziantep,97
181,Gijn,87
182,Gingoog,75
