inventory_id,film_id,store_id
1,1,1
2,1,1
3,1,1
4,1,1
16,4,1
17,4,1
18,4,1
19,4,1
26,6,1
27,6,1
28,6,1
32,7,1
33,7,1
41,9,1
42,9,1
43,9,1
46,10,1
47,10,1
48,10,1
49,10,1
53,11,1
54,11,1
55,11,1
56,11,1
60,12,1
61,12,1
62,12,1
71,15,1
72,15,1
77,16,1
78,16,1
81,17,1
82,17,1
83,17,1
87,18,1
88,18,1
89,18,1
93,19,1
94,19,1
95,19,1
96,19,1
99,20,1
100,20,1
101,20,1
102,21,1
103,21,1
108,22,1
109,22,1
110,22,1
111,22,1
115,23,1
116,23,1
117,23,1
120,24,1
121,24,1
122,24,1
123,24,1
124,25,1
125,25,1
126,25,1
127,25,1
130,26,1
131,26,1
135,27,1
136,27,1
137,27,1
138,27,1
139,28,1
140,28,1
141,28,1
142,29,1
143,29,1
144,30,1
145,30,1
146,31,1
147,31,1
148,31,1
149,31,1
160,35,1
161,35,1
162,35,1
163,35,1
167,37,1
168,37,1
169,37,1
170,37,1
174,39,1
175,39,1
176,39,1
189,43,1
190,43,1
191,43,1
196,44,1
197,44,1
201,45,1
202,45,1
203,45,1
204,45,1
212,48,1
213,48,1
216,49,1
217,49,1
218,49,1
222,50,1
223,50,1
224,50,1
227,51,1
228,51,1
235,53,1
236,53,1
237,54,1
238,54,1
239,54,1
242,55,1
243,55,1
244,55,1
245,55,1
248,56,1
249,56,1
250,56,1
253,57,1
254,57,1
255,57,1
256,57,1
264,59,1
265,59,1
266,59,1
269,60,1
270,60,1
271,60,1
272,61,1
273,61,1
274,61,1
275,61,1
280,63,1
281,63,1
291,66,1
292,66,1
293,66,1
294,67,1
295,67,1
300,68,1
301,68,1
304,69,1
305,69,1
306,69,1
307,69,1
312,70,1
313,70,1
320,72,1
321,72,1
322,72,1
323,72,1
326,73,1
327,73,1
328,73,1
329,73,1
334,74,1
335,74,1
336,74,1
342,76,1
343,76,1
344,76,1
345,77,1
346,77,1
347,77,1
348,77,1
351,78,1
352,78,1
353,78,1
358,79,1
359,79,1
360,79,1
364,80,1
365,80,1
366,80,1
367,80,1
368,81,1
369,81,1
370,81,1
371,81,1
372,82,1
373,82,1
374,83,1
375,83,1
376,83,1
379,84,1
380,84,1
381,84,1
382,84,1
387,86,1
388,86,1
389,86,1
390,86,1
399,89,1
400,89,1
401,89,1
405,90,1
406,90,1
407,90,1
411,91,1
412,91,1
413,91,1
414,91,1
419,92,1
420,92,1
426,94,1
427,94,1
428,95,1
429,95,1
433,96,1
434,96,1
435,96,1
436,97,1
437,97,1
438,97,1
439,97,1
442,98,1
443,98,1
444,98,1
445,99,1
446,99,1
447,99,1
451,100,1
452,100,1
453,100,1
454,100,1
457,101,1
458,101,1
459,101,1
460,101,1
465,103,1
466,103,1
467,103,1
468,103,1
476,105,1
477,105,1
481,106,1
482,106,1
485,109,1
486,109,1
487,109,1
488,109,1
493,110,1
494,110,1
495,110,1
496,110,1
501,112,1
502,112,1
503,112,1
504,112,1
512,114,1
513,114,1
514,114,1
515,114,1
519,115,1
520,115,1
521,115,1
526,116,1
527,116,1
532,117,1
533,117,1
534,117,1
535,117,1
538,118,1
539,118,1
540,118,1
541,118,1
544,119,1
545,119,1
546,119,1
551,120,1
552,120,1
553,120,1
554,121,1
555,121,1
556,121,1
560,122,1
561,122,1
562,122,1
563,122,1
567,123,1
568,123,1
580,127,1
581,127,1
582,127,1
583,127,1
588,129,1
589,129,1
590,129,1
594,130,1
595,130,1
600,131,1
601,131,1
602,131,1
603,131,1
606,132,1
607,132,1
608,132,1
609,132,1
612,133,1
613,133,1
619,135,1
620,135,1
621,135,1
626,136,1
627,136,1
628,136,1
633,138,1
634,138,1
638,139,1
639,139,1
640,139,1
641,139,1
644,140,1
645,140,1
649,141,1
650,141,1
651,141,1
654,142,1
655,142,1
656,142,1
659,143,1
660,143,1
661,143,1
662,143,1
669,146,1
670,146,1
671,146,1
672,147,1
673,147,1
674,147,1
678,149,1
679,149,1
680,149,1
684,150,1
685,150,1
690,151,1
691,151,1
694,152,1
695,152,1
696,152,1
