rental_id,rental_date,inventory_id,customer_id,return_date,staff_id
1,2011-05-24 22:53:30,367,130,2011-05-26 22:04:30,1
2,2011-05-24 22:54:33,1525,459,2011-05-28 19:40:33,1
3,2011-05-24 23:03:39,1711,408,2011-06-01 22:12:39,1
4,2011-05-24 23:04:41,2452,333,2011-06-03 01:43:41,2
5,2011-05-24 23:05:21,2079,222,2011-06-02 04:33:21,1
6,2011-05-24 23:08:07,2792,549,2011-05-27 01:32:07,1
7,2011-05-24 23:11:53,3995,269,2011-05-29 20:34:53,2
8,2011-05-24 23:31:46,2346,239,2011-05-27 23:33:46,2
9,2011-05-25 00:00:40,2580,126,2011-05-28 00:22:40,1
10,2011-05-25 00:02:21,1824,399,2011-05-31 22:44:21,2
11,2011-05-25 00:09:02,4443,142,2011-06-02 20:56:02,2
12,2011-05-25 00:19:27,1584,261,2011-05-30 05:44:27,2
13,2011-05-25 00:22:55,2294,334,2011-05-30 04:28:55,1
14,2011-05-25 00:31:15,2701,446,2011-05-26 02:56:15,1
15,2011-05-25 00:39:22,3049,319,2011-06-03 03:30:22,1
16,2011-05-25 00:43:11,389,316,2011-05-26 04:42:11,2
17,2011-05-25 01:06:36,830,575,2011-05-27 00:43:36,1
18,2011-05-25 01:10:47,3376,19,2011-05-31 06:35:47,2
19,2011-05-25 01:17:24,1941,456,2011-05-31 06:00:24,1
20,2011-05-25 01:48:41,3517,185,2011-05-27 02:20:41,2
21,2011-05-25 01:59:46,146,388,2011-05-26 01:01:46,2
22,2011-05-25 02:19:23,727,509,2011-05-26 04:52:23,2
23,2011-05-25 02:40:21,4441,438,2011-05-29 06:34:21,1
24,2011-05-25 02:53:02,3273,350,2011-05-27 01:15:02,1
25,2011-05-25 03:21:20,3961,37,2011-05-27 21:25:20,2
26,2011-05-25 03:36:50,4371,371,2011-05-31 00:34:50,1
27,2011-05-25 03:41:50,1225,301,2011-05-30 01:13:50,2
28,2011-05-25 03:42:37,4068,232,2011-05-26 09:26:37,2
29,2011-05-25 03:47:12,611,44,2011-05-30 00:31:12,2
30,2011-05-25 04:01:32,3744,430,2011-05-30 03:12:32,1
31,2011-05-25 04:05:17,4482,369,2011-05-30 07:15:17,1
32,2011-05-25 04:06:21,3832,230,2011-05-25 23:55:21,1
33,2011-05-25 04:18:51,1681,272,2011-05-27 03:58:51,1
34,2011-05-25 04:19:28,2613,597,2011-05-29 00:10:28,2
35,2011-05-25 04:24:36,1286,484,2011-05-27 07:02:36,2
36,2011-05-25 04:36:26,1308,88,2011-05-29 00:31:26,1
37,2011-05-25 04:44:31,403,535,2011-05-29 01:03:31,1
38,2011-05-25 04:47:44,2540,302,2011-06-01 00:58:44,1
39,2011-05-25 04:51:46,4466,207,2011-05-31 03:14:46,2
40,2011-05-25 05:09:04,2638,413,2011-05-27 23:12:04,1
41,2011-05-25 05:12:29,1761,174,2011-06-02 00:28:29,1
42,2011-05-25 05:24:58,380,523,2011-05-31 02:47:58,2
43,2011-05-25 05:39:25,2578,532,2011-05-26 06:54:25,2
44,2011-05-25 05:53:23,3098,207,2011-05-29 10:56:23,2
45,2011-05-25 05:59:39,1853,436,2011-06-02 09:56:39,2
46,2011-05-25 06:04:08,3318,7,2011-06-02 08:18:08,2
47,2011-05-25 06:05:20,2211,35,2011-05-30 03:04:20,1
48,2011-05-25 06:20:46,1780,282,2011-06-02 05:42:46,1
49,2011-05-25 06:39:35,2965,498,2011-05-30 10:12:35,2
50,2011-05-25 06:44:53,1983,18,2011-05-28 11:28:53,2
51,2011-05-25 06:49:10,1257,256,2011-05-26 06:42:10,1
52,2011-05-25 06:51:29,4017,507,2011-05-31 01:27:29,2
53,2011-05-25 07:19:16,1255,569,2011-05-27 05:19:16,2
54,2011-05-25 07:23:25,2787,291,2011-06-01 05:05:25,2
55,2011-05-25 08:26:13,1139,131,2011-05-30 10:57:13,1
56,2011-05-25 08:28:11,1352,511,2011-05-26 14:21:11,1
57,2011-05-25 08:43:32,3938,6,2011-05-29 06:42:32,2
58,2011-05-25 08:53:14,3050,323,2011-05-28 14:40:14,1
59,2011-05-25 08:56:42,2884,408,2011-06-01 09:52:42,1
60,2011-05-25 08:58:25,330,470,2011-05-30 14:14:25,1
61,2011-05-25 09:01:57,4210,250,2011-06-02 07:22:57,2
62,2011-05-25 09:18:52,261,419,2011-05-30 10:55:52,1
63,2011-05-25 09:19:16,4008,383,2011-05-27 04:24:16,1
64,2011-05-25 09:21:29,79,368,2011-06-03 11:31:29,1
65,2011-05-25 09:32:03,3552,346,2011-05-29 14:21:03,1
66,2011-05-25 09:35:12,1162,86,2011-05-29 04:16:12,2
67,2011-05-25 09:41:01,239,119,2011-05-27 13:46:01,2
68,2011-05-25 09:47:31,4029,120,2011-05-31 10:20:31,2
69,2011-05-25 10:10:14,3207,305,2011-05-27 14:02:14,2
70,2011-05-25 10:15:23,2168,73,2011-05-27 05:56:23,2
71,2011-05-25 10:26:39,2408,100,2011-05-28 04:59:39,1
72,2011-05-25 10:52:13,2260,48,2011-05-28 05:52:13,2
73,2011-05-25 11:00:07,517,391,2011-06-01 13:56:07,2
74,2011-05-25 11:09:48,1744,265,2011-05-26 12:23:48,2
75,2011-05-25 11:13:34,3393,510,2011-06-03 12:58:34,1
76,2011-05-25 11:30:37,3021,1,2011-06-03 12:00:37,2
77,2011-05-25 11:31:59,1303,451,2011-05-26 16:53:59,2
78,2011-05-25 11:35:18,4067,135,2011-05-31 12:48:18,2
79,2011-05-25 12:11:07,3299,245,2011-06-03 10:54:07,2
80,2011-05-25 12:12:07,2478,314,2011-05-31 17:46:07,2
81,2011-05-25 12:15:19,2610,286,2011-06-02 14:08:19,2
82,2011-05-25 12:17:46,1388,427,2011-06-01 10:48:46,1
83,2011-05-25 12:30:15,466,131,2011-05-27 15:40:15,1
84,2011-05-25 12:36:30,1829,492,2011-05-29 18:33:30,1
85,2011-05-25 13:05:34,470,414,2011-05-29 16:53:34,1
86,2011-05-25 13:36:12,2275,266,2011-05-30 14:53:12,1
87,2011-05-25 13:52:43,1586,331,2011-05-29 11:12:43,2
88,2011-05-25 14:13:54,2221,53,2011-05-29 09:32:54,2
89,2011-05-25 14:28:29,2181,499,2011-05-29 14:33:29,1
90,2011-05-25 14:31:25,2984,25,2011-06-01 10:07:25,1
91,2011-05-25 14:57:22,139,267,2011-06-01 18:32:22,1
92,2011-05-25 15:38:46,775,302,2011-05-31 13:40:46,2
93,2011-05-25 15:54:16,4360,288,2011-06-03 20:18:16,1
94,2011-05-25 16:03:42,1675,197,2011-05-30 14:23:42,1
95,2011-05-25 16:12:52,178,400,2011-06-02 18:55:52,2
96,2011-05-25 16:32:19,3418,49,2011-05-30 10:47:19,2
97,2011-05-25 16:34:24,1283,263,2011-05-28 12:13:24,2
98,2011-05-25 16:48:24,2970,269,2011-05-27 11:29:24,2
99,2011-05-25 16:50:20,535,44,2011-05-28 18:52:20,1
100,2011-05-25 16:50:28,2599,208,2011-06-02 22:11:28,1
101,2011-05-25 17:17:04,617,468,2011-05-31 19:47:04,1
102,2011-05-25 17:22:10,373,343,2011-05-31 19:47:10,1
103,2011-05-25 17:30:42,3343,384,2011-06-03 22:36:42,1
104,2011-05-25 17:46:33,4281,310,2011-05-27 15:20:33,1
105,2011-05-25 17:54:12,794,108,2011-05-30 12:03:12,2
106,2011-05-25 18:18:19,3627,196,2011-06-04 00:01:19,2
107,2011-05-25 18:28:09,2833,317,2011-06-03 22:46:09,2
108,2011-05-25 18:30:05,3289,242,2011-05-30 19:40:05,1
109,2011-05-25 18:40:20,1044,503,2011-05-29 20:39:20,2
110,2011-05-25 18:43:49,4108,19,2011-06-03 18:13:49,2
111,2011-05-25 18:45:19,3725,227,2011-05-28 17:18:19,1
112,2011-05-25 18:57:24,2153,500,2011-06-02 20:44:24,1
113,2011-05-25 19:07:40,2963,93,2011-05-27 22:16:40,2
114,2011-05-25 19:12:42,4502,506,2011-06-01 23:10:42,1
115,2011-05-25 19:13:25,749,455,2011-05-29 20:17:25,1
